mol_id,unique_key,energy
3872,3872__-165,3.1448052
3872,3872__-150,1.5049161
3872,3872__-135,0.0
3872,3872__-120,0.17500019
3872,3872__-105,0.7709801
3872,3872__-90,1.0341423
3872,3872__-75,0.7625334
3872,3872__-60,0.17151952
3872,3872__-45,0.09685826
3872,3872__-30,1.693105
3872,3872__-15,3.3530853
3872,3872__0,4.0606794
3872,3872__15,3.4152744
3872,3872__30,1.7259789
3872,3872__45,0.17099524
3872,3872__60,0.22302592
3872,3872__75,0.7220236
3872,3872__90,1.0070326
3872,3872__105,0.735615
3872,3872__120,0.18486142
3872,3872__135,0.039122105
3872,3872__150,1.5138497
3872,3872__165,3.1005764
3872,3872__180,3.7937906
3872,3872__-180,3.7937906
4976,4976__180,2.7972577
4976,4976__-180,2.7972577
4976,4976__-165,2.4057608
4976,4976__-150,1.2127047
4976,4976__-135,0.034296513
4976,4976__-120,0.062184095
4976,4976__-105,0.4902091
4976,4976__-90,1.0379813
4976,4976__-75,1.4871736
4976,4976__-60,1.612141
4976,4976__-45,1.6065896
4976,4976__-30,2.031138
4976,4976__-15,2.499211
4976,4976__0,2.709859
4976,4976__15,2.592484
4976,4976__30,2.1157577
4976,4976__45,1.59113
4976,4976__60,1.4134729
4976,4976__75,1.2151549
4976,4976__90,0.8523395
4976,4976__105,0.3874135
4976,4976__120,0.0
4976,4976__135,0.015170574
4976,4976__150,1.213166
4976,4976__165,2.3492327
1325,1325__180,0.0
1325,1325__-180,0.0
1325,1325__-165,0.2920785
1325,1325__-150,0.97901976
1325,1325__-135,1.8891702
1325,1325__-120,2.671864
1325,1325__-105,2.9641438
1325,1325__-90,2.6941123
1325,1325__-75,2.2164993
1325,1325__-60,2.000571
1325,1325__-45,2.3619266
1325,1325__-30,3.5307493
1325,1325__-15,4.623337
1325,1325__0,5.131772
1325,1325__15,4.827904
1325,1325__30,3.825607
1325,1325__45,2.7158747
1325,1325__60,2.3362572
1325,1325__75,2.5445766
1325,1325__90,2.9687982
1325,1325__105,3.1625063
1325,1325__120,2.7472095
1325,1325__135,1.8685555
1325,1325__150,0.92159307
1325,1325__165,0.24260259
1623,1623__180,5.7344046
1623,1623__-180,5.7344046
1623,1623__-165,4.8905
1623,1623__-150,2.6759048
1623,1623__-135,0.36999655
1623,1623__-120,0.0
1623,1623__-105,0.23971295
1623,1623__-90,0.53421164
1623,1623__-75,0.7292646
1623,1623__-60,0.89951
1623,1623__-45,1.4893868
1623,1623__-30,3.5288966
1623,1623__-15,5.3493004
1623,1623__0,6.0018272
1623,1623__15,5.2980328
1623,1623__30,3.41515
1623,1623__45,1.4134338
1623,1623__60,0.82701504
1623,1623__75,0.68873715
1623,1623__90,0.47535372
1623,1623__105,0.18210936
1623,1623__120,0.08786154
1623,1623__135,0.59551954
1623,1623__150,2.9368236
1623,1623__165,4.9872255
4729,4729__-165,5.3108416
4729,4729__-150,3.8866873
4729,4729__-135,2.6316907
4729,4729__-120,1.6612476
4729,4729__-105,1.5505564
4729,4729__-90,1.900073
4729,4729__-75,2.4371743
4729,4729__-60,2.6505997
4729,4729__-45,2.258168
4729,4729__-30,1.4995548
4729,4729__-15,0.7139654
4729,4729__0,0.12354493
4729,4729__15,0.0
4729,4729__30,0.34379458
4729,4729__45,0.8631054
4729,4729__60,1.4108591
4729,4729__75,1.5954447
